month,41000_fresh_vegetables,61000_fresh_fruit,61100_dessert_apples,70000_wine
2015M01,90.01,79.63,81.28,72.22
2015M02,88.35,79.27,82.48,74.53
2015M03,87.89,95.61,97.43,95.46
2015M04,106.80,95.38,96.48,99.18
2015M05,88.61,97.03,112.06,85.22
2015M06,84.82,88.69,107.29,95.26
2015M07,74.48,81.59,103.12,100.36
2015M08,87.55,95.03,103.12,84.45
2015M09,82.88,72.46,69.19,92.33
2015M10,87.65,71.01,69.00,88.18
2015M11,89.57,70.78,68.07,103.92
2015M12,87.03,83.48,71.96,109.03
2016M01,93.28,86.26,86.65,95.73
2016M02,120.20,89.75,89.50,89.13
2016M03,86.83,80.91,80.42,85.48
2016M04,98.61,80.59,81.44,88.40
2016M05,87.70,87.85,95.97,93.75
2016M06,86.15,93.19,93.37,99.02
2016M07,76.67,83.86,96.27,86.93
2016M08,82.69,87.90,94.76,97.34
2016M09,79.85,77.80,76.57,74.54
2016M10,84.72,85.65,86.54,106.82
2016M11,94.29,96.46,98.07,110.22
2016M12,91.82,101.27,106.77,117.62
2017M01,130.53,107.44,108.75,90.35
2017M02,131.99,102.23,104.74,80.40
2017M03,100.82,127.51,128.83,73.07
2017M04,101.16,114.09,113.71,93.17
2017M05,85.09,94.98,107.81,99.59
2017M06,83.45,92.07,117.81,106.90
2017M07,79.89,89.87,170.23,96.35
2017M08,84.31,88.70,82.92,93.57
2017M09,93.64,107.97,109.91,107.91
2017M10,92.62,110.02,109.65,103.26
2017M11,92.00,126.79,128.58,120.11
2017M12,91.43,122.38,121.80,117.96
2018M01,113.10,134.83,134.64,88.14
2018M02,111.42,126.16,129.33,90.22
2018M03,104.83,155.93,156.96,92.89
2018M04,100.31,136.65,137.74,101.68
2018M05,92.45,117.46,180.76,95.79
2018M06,94.79,97.84,103.49,102.40
2018M07,89.13,91.02,145.87,99.97
2018M08,92.55,92.78,92.03,98.38
2018M09,103.08,63.43,58.96,106.89
2018M10,100.77,58.65,56.05,101.07
2018M11,103.42,70.93,70.98,122.47
2018M12,97.41,84.71,79.09,95.12
2019M01,104.04,79.18,79.64,96.76
2019M02,118.89,81.66,81.94,86.12
2019M03,111.41,82.08,82.30,91.93
2019M04,112.24,87.44,87.57,98.34
2019M05,106.13,94.32,86.68,95.57
2019M06,105.46,93.15,81.98,97.90
2019M07,108.29,89.80,86.43,93.82
2019M08,100.30,91.30,89.21,91.80
2019M09,102.06,86.67,83.33,94.16
2019M10,102.85,83.97,80.62,99.26
2019M11,102.33,106.23,106.56,112.88
2019M12,97.84,95.66,114.46,121.66
2020M01,105.67,122.41,124.85,86.98
2020M02,112.65,117.98,121.36,88.00
2020M03,117.77,124.94,126.56,91.26
2020M04,114.94,139.17,140.83,86.46
2020M05,107.28,114.55,151.56,93.37
2020M06,101.25,102.00,126.24,101.34
2020M07,96.44,106.66,172.21,94.66
2020M08,91.06,110.51,124.71,79.42
2020M09,97.37,76.46,71.56,100.98
2020M10,102.72,80.24,75.57,102.29
2020M11,87.06,88.86,87.88,124.16
2020M12,96.16,99.00,98.02,119.26
2021M01,110.81,113.23,116.05,92.61
2021M02,115.73,113.31,114.83,93.40
2021M03,123.80,111.93,112.28,95.01
2021M04,116.51,111.95,110.61,86.83
2021M05,116.32,111.94,110.11,97.21
2021M06,115.69,132.62,121.41,86.75
2021M07,103.49,123.37,124.26,96.58
2021M08,107.58,117.42,122.73,98.26
2021M09,109.27,101.47,96.52,105.22
2021M10,108.37,120.43,120.41,98.50
2021M11,104.42,140.00,141.24,127.95
2021M12,107.60,126.07,152.91,133.85
2022M01,119.19,147.08,148.87,101.87
2022M02,126.81,142.59,143.73,101.75
2022M03,116.63,139.75,139.94,104.11
2022M04,133.84,143.37,143.86,102.78
2022M05,118.47,111.84,132.45,113.25
2022M06,121.79,117.47,143.63,106.05
2022M07,120.69,115.67,159.32,104.23
2022M08,126.00,113.43,127.78,112.31
2022M09,137.71,89.95,81.74,122.24
2022M10,142.13,92.69,87.54,111.98
2022M11,135.35,121.85,120.77,120.91
2022M12,119.30,123.18,136.30,145.70
2023M01,137.47,153.23,154.70,114.38
2023M02,134.12,141.55,141.36,104.30
2023M03,136.76,133.32,132.84,109.10
2023M04,157.22,117.02,116.37,123.57
2023M05,132.84,118.05,116.03,128.17
2023M06,147.17,145.74,124.59,122.53
2023M07,133.86,134.34,146.28,122.47
2023M08,143.58,148.43,145.87,124.65
2023M09,152.42,118.03,111.46,124.77
2023M10,155.59,122.32,116.95,126.64
2023M11,150.50,157.78,157.55,137.93
2023M12,142.07,119.31,169.10,132.19
2024M01,167.42,165.62,165.59,123.84
2024M02,158.72,161.35,161.58,113.60
2024M03,152.38,162.40,163.43,126.59
2024M04,138.30,167.80,169.48,128.97
2024M05,143.65,154.56,162.74,132.21
2024M06,147.60,159.41,151.61,128.87
2024M07,137.39,128.90,160.90,126.50
2024M08,146.42,129.65,115.53,129.68
2024M09,156.50,107.15,97.79,135.33
2024M10,160.86,112.98,105.53,132.85
2024M11,157.43,139.05,136.87,153.16
2024M12,129.96,122.87,166.55,153.16
2025M01,151.75,153.15,151.13,118.68
2025M02,159.33,156.76,155.89,132.96
2025M03,162.25,155.03,154.09,133.61
2025M04,157.83,140.00,139.44,141.49
2025M05,138.00,146.19,151.15,139.99
2025M06,147.01,173.31,142.82,136.61
2025M07,138.54,137.90,166.95,140.45
2025M08,141.53,150.81,129.38,142.05
2025M09,136.39,124.13,109.88,145.77
2025M10,138.27,132.32,124.43,141.88
2025M11,123.36,170.93,168.44,163.00
2025M12,129.85,139.71,166.25,169.33
2026M01,133.92,173.19,170.24,130.26
2026M02,121.33,166.37,165.86,135.10
2026M03,125.19,166.42,166.77,140.70
2026M04,146.42,178.46,178.34,139.05
2026M05,141.36,149.49,163.52,136.79
2026M06,148.39,159.59,160.15,142.22
