date,price_eur_t
2015-11-16,182.83
2015-11-23,186.65
2015-11-30,187.11
2015-12-07,185.20
2015-12-14,186.21
2015-12-21,200.00
2015-12-28,200.00
2016-01-04,199.95
2016-01-11,182.29
2016-01-18,183.14
2016-01-25,184.87
2016-02-01,180.62
2016-02-08,183.43
2016-02-15,176.54
2016-02-22,177.96
2016-02-29,167.18
2016-03-07,165.57
2016-03-14,162.21
2016-03-21,159.16
2016-03-28,159.81
2016-04-04,157.63
2016-04-11,156.96
2016-04-18,155.52
2016-04-25,154.03
2016-05-02,160.68
2016-05-09,159.65
2016-05-16,159.36
2016-05-23,155.96
2016-05-30,163.26
2016-06-06,163.96
2016-06-13,167.31
2016-06-20,175.19
2016-06-27,169.63
2016-07-04,158.75
2016-07-11,145.38
2016-07-18,148.32
2016-07-25,151.93
2016-08-01,151.95
2016-08-08,156.94
2016-08-15,154.32
2016-08-22,154.69
2016-08-29,149.79
2016-09-05,147.55
2016-09-12,156.64
2016-09-19,150.22
2016-09-26,142.03
2016-10-03,153.66
2016-10-10,168.29
2016-10-17,157.57
2016-10-24,171.65
2016-10-31,160.33
2016-11-07,154.65
2016-11-14,151.13
2016-11-21,157.21
2016-11-28,157.73
2016-12-05,165.42
2016-12-12,151.86
2016-12-19,162.92
2016-12-26,142.00
2017-01-02,190.00
2017-01-09,159.96
2017-01-16,167.17
2017-01-23,178.88
2017-01-30,174.51
2017-02-06,162.68
2017-02-13,152.84
2017-02-20,165.22
2017-02-27,166.65
2017-03-06,166.08
2017-03-13,160.74
2017-03-20,155.55
2017-03-27,159.37
2017-04-03,160.33
2017-04-10,157.82
2017-04-17,169.74
2017-04-24,176.08
2017-05-01,176.70
2017-05-08,172.22
2017-05-15,168.51
2017-05-22,171.83
2017-05-29,175.01
2017-06-05,169.46
2017-06-12,174.90
2017-06-19,174.28
2017-06-26,172.21
2017-07-03,163.00
2017-07-10,163.72
2017-07-17,173.74
2017-07-24,178.03
2017-07-31,172.15
2017-08-07,177.13
2017-08-14,175.37
2017-08-21,173.04
2017-08-28,173.31
2017-09-04,178.26
2017-09-11,178.45
2017-09-18,169.76
2017-09-25,171.46
2017-10-02,158.24
2017-10-09,178.70
2017-10-16,174.73
2017-10-23,180.20
2017-10-30,184.73
2017-11-06,158.32
2017-11-13,184.01
2017-11-20,158.70
2017-11-27,175.14
2017-12-04,175.11
2017-12-11,178.57
2017-12-18,174.62
2017-12-25,187.57
2018-01-01,188.15
2018-01-08,182.29
2018-01-15,183.25
2018-01-22,187.75
2018-01-29,189.54
2018-02-05,189.35
2018-02-12,179.62
2018-02-19,183.04
2018-02-26,187.62
2018-03-05,185.91
2018-03-12,181.24
2018-03-19,184.33
2018-03-26,179.84
2018-04-02,189.25
2018-04-09,180.84
2018-04-16,181.24
2018-04-23,180.14
2018-04-30,183.92
2018-05-07,181.58
2018-05-14,182.00
2018-05-21,185.82
2018-05-28,183.12
2018-06-04,184.63
2018-06-11,183.72
2018-06-18,186.90
2018-06-25,187.62
2018-07-02,182.70
2018-07-09,177.59
2018-07-16,177.66
2018-07-23,178.90
2018-07-30,181.33
2018-08-06,183.88
2018-08-13,187.95
2018-08-20,182.72
2018-08-27,184.97
2018-09-03,187.90
2018-09-10,188.47
2018-09-17,188.49
2018-09-24,194.19
2018-10-01,191.09
2018-10-08,196.23
2018-10-15,191.85
2018-10-22,190.78
2018-10-29,193.40
2018-11-05,198.82
2018-11-12,202.94
2018-11-19,211.02
2018-11-26,205.32
2018-12-03,208.40
2018-12-10,212.51
2018-12-17,237.73
2018-12-24,210.00
2019-01-07,213.01
2019-01-14,203.74
2019-01-21,206.91
2019-01-28,211.55
2019-02-04,213.76
2019-02-11,216.44
2019-02-18,217.44
2019-02-25,211.55
2019-03-04,211.96
2019-03-11,209.25
2019-03-18,208.40
2019-03-25,209.30
2019-04-01,206.84
2019-04-08,198.98
2019-04-15,200.20
2019-04-22,199.15
2019-04-29,203.10
2019-05-06,200.51
2019-05-13,200.45
2019-05-20,200.70
2019-05-27,200.08
2019-06-03,201.10
2019-06-10,203.80
2019-06-17,199.31
2019-06-24,200.17
2019-07-01,173.49
2019-07-08,178.31
2019-07-15,177.46
2019-07-22,179.54
2019-07-29,178.28
2019-08-05,167.33
2019-08-12,185.31
2019-08-19,186.09
2019-08-26,188.86
2019-09-02,184.51
2019-09-09,183.07
2019-09-16,186.84
2019-09-23,183.95
2019-09-30,186.88
2019-10-07,186.61
2019-10-14,177.19
2019-10-21,184.29
2019-10-28,176.83
2019-11-04,181.60
2019-11-11,178.77
2019-11-18,177.86
2019-11-25,183.22
2019-12-02,178.00
2019-12-09,186.66
2019-12-23,195.00
2019-12-30,171.60
2020-01-06,182.52
2020-01-13,177.83
2020-01-20,183.84
2020-01-27,190.40
2020-02-03,191.47
2020-02-10,187.17
2020-02-17,186.02
2020-02-24,188.36
2020-03-02,188.25
2020-03-09,189.47
2020-03-16,191.66
2020-03-23,188.53
2020-03-30,186.81
2020-04-06,186.06
2020-04-13,185.23
2020-04-20,186.82
2020-04-27,190.39
2020-05-04,184.73
2020-05-11,185.68
2020-05-18,184.36
2020-05-25,182.26
2020-06-01,179.44
2020-06-08,184.29
2020-06-15,190.00
2020-06-22,155.00
2020-06-29,178.00
2020-07-06,170.40
2020-07-13,158.98
2020-07-20,164.53
2020-07-27,166.89
2020-08-03,167.84
2020-08-10,172.81
2020-08-17,166.02
2020-08-24,166.94
2020-08-31,165.73
2020-09-07,174.48
2020-09-14,173.08
2020-09-21,173.12
2020-09-28,173.52
2020-10-05,136.21
2020-10-12,165.97
2020-10-19,185.64
2020-10-26,191.65
2020-11-02,177.36
2020-11-09,180.59
2020-11-16,201.64
2020-11-23,190.39
2020-11-30,198.06
2020-12-07,187.09
2020-12-14,186.61
2020-12-21,210.00
2020-12-28,215.00
2021-01-11,204.64
2021-01-18,217.60
2021-01-25,215.01
2021-02-01,231.96
2021-02-08,223.26
2021-02-15,217.52
2021-02-22,216.40
2021-03-01,201.82
2021-03-08,207.74
2021-03-15,218.53
2021-03-22,213.18
2021-03-29,221.52
2021-04-05,224.43
2021-04-12,217.89
2021-04-19,219.99
2021-04-26,230.05
2021-05-03,223.35
2021-05-10,226.59
2021-05-17,226.59
2021-05-24,233.00
2021-05-31,232.49
2021-06-07,232.99
2021-06-14,228.09
2021-06-21,214.15
2021-06-28,225.60
2021-07-05,206.99
2021-07-12,208.65
2021-07-19,206.68
2021-07-26,209.13
2021-08-02,216.54
2021-08-09,220.68
2021-08-16,217.63
2021-08-23,222.65
2021-08-30,224.05
2021-09-06,229.48
2021-09-13,241.34
2021-09-20,249.81
2021-09-27,237.39
2021-10-04,249.24
2021-10-11,257.07
2021-10-18,254.04
2021-10-25,268.13
2021-11-01,263.32
2021-11-08,255.73
2021-11-15,268.78
2021-11-22,281.50
2021-11-29,284.00
2021-12-06,306.96
2021-12-13,300.00
2021-12-20,308.57
2021-12-27,299.48
2022-01-03,324.00
2022-01-10,331.83
2022-01-17,326.97
2022-01-24,320.10
2022-01-31,315.94
2022-02-07,316.50
2022-02-14,323.34
2022-02-21,311.46
2022-02-28,314.24
2022-03-07,335.18
2022-03-14,377.54
2022-03-21,377.49
2022-03-28,357.71
2022-04-04,361.01
2022-04-11,387.17
2022-04-18,382.90
2022-04-25,371.47
2022-05-02,382.31
2022-05-09,392.82
2022-05-16,384.64
2022-05-23,393.97
2022-05-30,394.34
2022-06-06,399.69
2022-06-13,396.28
2022-06-20,388.98
2022-06-27,383.92
2022-07-04,347.66
2022-07-11,349.52
2022-07-18,342.34
2022-07-25,349.01
2022-08-01,357.69
2022-08-08,356.82
2022-08-15,343.68
2022-08-22,354.56
2022-08-29,358.78
2022-09-05,366.97
2022-09-12,364.43
2022-09-19,358.15
2022-09-26,364.69
2022-10-03,358.05
2022-10-10,365.60
2022-10-17,361.61
2022-10-24,365.16
2022-10-31,356.75
2022-11-07,357.10
2022-11-14,356.93
2022-11-21,358.90
2022-11-28,360.28
2022-12-05,362.82
2022-12-12,359.67
2022-12-19,347.43
2022-12-26,381.00
2023-01-02,362.50
2023-01-09,362.49
2023-01-16,355.00
2023-01-23,344.21
2023-01-30,338.21
2023-02-06,334.51
2023-02-13,333.86
2023-02-20,326.92
2023-02-27,323.15
2023-03-06,313.01
2023-03-13,314.36
2023-03-20,344.70
2023-03-27,325.05
2023-04-03,324.45
2023-04-10,312.41
2023-04-17,282.25
2023-04-24,301.87
2023-05-01,308.43
2023-05-08,266.30
2023-05-15,281.01
2023-05-22,271.62
2023-05-29,299.08
2023-06-05,224.00
2023-06-12,226.24
2023-06-19,232.29
2023-06-26,204.60
2023-07-03,213.47
2023-07-10,206.75
2023-07-17,198.65
2023-07-24,209.95
2023-07-31,201.35
2023-08-07,216.71
2023-08-14,217.85
2023-08-21,209.73
2023-08-28,217.56
2023-09-04,218.81
2023-09-11,220.86
2023-09-18,226.28
2023-09-25,214.96
2023-10-02,229.07
2023-10-09,226.35
2023-10-16,222.49
2023-10-23,231.90
2023-10-30,225.05
2023-11-06,232.04
2023-11-13,230.36
2023-11-20,229.19
2023-11-27,228.89
2023-12-04,226.53
2023-12-11,227.41
2023-12-18,221.59
2023-12-25,217.28
2024-01-08,225.42
2024-01-15,230.90
2024-01-22,228.39
2024-01-29,227.83
2024-02-05,228.06
2024-02-12,227.97
2024-02-19,235.63
2024-02-26,218.96
2024-03-04,228.73
2024-03-11,224.58
2024-03-18,218.09
2024-03-25,219.86
2024-04-01,215.33
2024-04-08,214.12
2024-04-15,209.25
2024-04-22,208.19
2024-04-29,191.14
2024-05-06,196.53
2024-05-13,200.46
2024-05-20,197.53
2024-05-27,200.51
2024-06-03,206.01
2024-06-10,210.09
2024-06-17,199.63
2024-06-24,201.48
2024-07-01,195.08
